===================================================================
         HOUSES OF ICE AND FIRE  (Alphabetical Order)
===================================================================
  Generated : 2026-05-11  19:58:23
  Total     : 444 houses
===================================================================

  No.   House Name                                Region           
  302   House Piper of Pinkmaiden                 The Riverlands   
  303   House Plumm                               The Westerlands  
  304   House Pommingham                          The Reach        
  305   House Poole                               The North        
  306   House Prester of Feastfires               The Westerlands  
  307   House Pryor of Pebble                     The Vale         
  308   House Pyle                                The Crownlands   
  309   House Pyne                                The Crownlands   
  310   House Qoherys of Harrenhal                The Riverlands   
  311   House Qorgyle of Sandstone                Dorne            
  312   House Quagg                               The Neck         
  313   House Rambton                             The Crownlands   
  314   House Redbeard                            Beyond the Wall  
  315   House Redding                             The Reach        
  316   House Redfort of Redfort                  The Vale         
  317   House Redwyne of the Arbor                The Reach        
  318   House Reed of Greywater Watch             The Neck         
  319   House Reyne of Castamere                  The Westerlands  
  320   House Rhysling                            The Reach        
  321   House Risley                              The Reach        
  322   House Rogers of Amberly                   The Stormlands   
  323   House Rollingford                         The Crownlands   
  324   House Roote of Lord Harroway's Town       The Riverlands   
  325   House Rosby of Rosby                      The Crownlands   
  326   House Rowan of Goldengrove                The Reach        
  327   House Roxton of the Ring                  The Reach        
  328   House Royce of Runestone                  The Vale         
  329   House Royce of the Gates of the Moon      The Vale         
  330   House Ruthermont                          The Vale         
  331   House Ruttiger                            The Westerlands  
  332   House Ryder of the Rills                  The North        
  333   House Ryger of Willow Wood                The Riverlands   
  334   House Rykker of Duskendale                The Crownlands   
  335   House Ryswell of the Rills                The North        
  336   House Saltcliffe of Saltcliffe            Iron Islands     
  337   House Santagar of Spottswood              Dorne            
  338   House Sarsfield of Sarsfield              The Westerlands  
  339   House Sarwyck                             The Westerlands  
  340   House Seaworth of Cape Wrath              The Stormlands   
  341   House Selmy of Harvest Hall               The Stormlands   
  342   House Serrett of Silverhill               The Westerlands  
  343   House Serry of Southshield                The Reach        
  344   House Sharp                               Iron Islands     
  345   House Shawney                             The Riverlands   
  346   House Shell                               Dorne            
  347   House Shell                               The Vale         
  348   House Shepherd                            Iron Islands     
  349   House Shermer of Smithyton                The Reach        
  350   House Shett of Gull Tower                 The Vale         
  351   House Shett of Gulltown                   The Vale         
  352   House Slate of Blackpool                  The North        
  353   House Sloane                              The Reach        
  354   House Slynt of Harrenhal                  None             
  355   House Smallwood of Acorn Hall             The Riverlands   
  356   House Sparr of Great Wyk                  Iron Islands     
  357   House Spicer of Castamere                 The Westerlands  
  358   House Stackhouse                          The Reach        
  359   House Stackspear                          The Westerlands  
  360   House Staedmon of Broad Arch              The Stormlands   
  361   House Stane of Driftwood Hall             The North        
  362   House Stark of Winterfell                 The North        
  363   House Staunton of Rook's Rest             The Crownlands   
  364   House Stokeworth of Stokeworth            The Crownlands   
  365   House Stonehouse of Old Wyk               Iron Islands     
  366   House Stonetree of Harlaw                 Iron Islands     
  367   House Stout of Goldgrass                  The North        
  368   House Strickland                          (No Region)      
  369   House Strong of Harrenhal                 The Riverlands   
  370   House Sunderland of the Three Sisters     The Vale         
  371   House Sunderly of Saltcliffe              Iron Islands     
  372   House Sunglass of Sweetport Sound         The Crownlands   
  373   House Swann of Stonehelm                  The Stormlands   
  374   House Swyft of Cornfield                  The Westerlands  
  375   House Swygert                             The Stormlands   
  376   House Tallhart of Torrhen's Square        The North        
  377   House Tarbeck of Tarbeck Hall             The Westerlands  
  378   House Targaryen of King's Landing         The Crownlands   
  379   House Tarly of Horn Hill                  The Reach        
  380   House Tarth of Evenfall Hall              The Stormlands   
  381   House Tawney of Orkmont                   Iron Islands     
  382   House Teague                              The Riverlands   
  383   House Templeton                           (No Region)      
  384   House Terrick                             The Riverlands   
  385   House Thenn                               The North        
  386   House Thorne                              The Crownlands   
  387   House Toland of Ghost Hill                Dorne            
  388   House Tollett of the Grey Glen            The Vale         
  389   House Torrent of Littlesister             The Vale         
  390   House Towers                              The North        
  391   House Towers of Harrenhal                 The Riverlands   
  392   House Toyne                               The Stormlands   
  393   House Trant of Gallowsgrey                The Stormlands   
  394   House Tudbury                             The Stormlands   
  395   House Tully of Riverrun                   The Riverlands   
  396   House Turnberry                           The Westerlands  
  397   House Tyrell of Brightwater Keep          The Reach        
  398   House Tyrell of Highgarden                The Reach        
  399   House Uffering                            The Reach        
  400   House Uller of Hellholt                   Dorne            
  401   House Umber of the Last Hearth            The North        
  402   House Upcliff                             The Vale         
  403   House Vaith of the Red Dunes              Dorne            
  404   House Vance of Atranta                    The Riverlands   
  405   House Vance of Wayfarer's Rest            The Riverlands   
  406   House Varner                              The Reach        
  407   House Velaryon of Driftmark               The Crownlands   
  408   House Vikary                              The Westerlands  
  409   House Volmark                             Iron Islands     
  410   House Vypren                              (No Region)      
  411   House Vyrwel of Darkdell                  The Reach        
  412   House Wade                                Dorne            
  413   House Wagstaff                            The Stormlands   
  414   House Waterman                            The North        
  415   House Waxley of Wickenden                 The Vale         
  416   House Wayn                                The Riverlands   
  417   House Waynwood of Ironoaks                The Vale         
  418   House Weaver                              Iron Islands     
  419   House Webber of Coldmoat                  The Reach        
  420   House Wells                               Dorne            
  421   House Wells                               The North        
  422   House Wendwater                           The Crownlands   
  423   House Wensington                          The Stormlands   
  424   House Westbrook                           The Reach        
  425   House Westerling of the Crag              The Westerlands  
  426   House Westford                            The Westerlands  
  427   House Whent of Harrenhal                  The Riverlands   
  428   House Whitehill                           The North        
  429   House Willum                              The Reach        
  430   House Wode                                The Riverlands   
  431   House Woodfoot of Bear Island             The North        
  432   House Woods                               The North        
  433   House Woodwright                          The Reach        
  434   House Woolfield                           The North        
  435   House Wull                                The North        
  436   House Wydman                              The Vale         
  437   House Wyl of the Boneway                  Dorne            
  438   House Wylde of Rain House                 The Stormlands   
  439   House Wynch of Iron Holt                  Iron Islands     
  440   House Wythers                             The Reach        
  441   House Yarwyck                             The Westerlands  
  442   House Yelshire                            The Reach        
  443   House Yew                                 The Westerlands  
  444   House Yronwood of Yronwood                Dorne            

  ───────────────────────────────────────────────────────────────────
  END OF LIST  |  Total: 444 houses
===================================================================
